Lang	Train	Dev	Tests
frm	OPUS_Tatoeba_v20190709		
frp	OPUS_Ubuntu_v14_10		
fry	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
fse	JW300		
fsl	JW300		
fuc	OPUS_Tatoeba_v20190709		
ful	 OPUS_wikimedia_v20190628		
fur	"OPUS_GNOME_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
fuv	OPUS_Tatoeba_v20190709		
gaa	JW300		
gan	OPUS_Tatoeba_v20190709		
gbi	OPUS_bible_uedin_v1		
gbm	OPUS_Tatoeba_v20190709		
gcf	OPUS_Tatoeba_v20190709		
gil	"JW300, OPUS_Tatoeba_v20190709"		
gla	"OPUS_EUbookshop_v2,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
gle	"OPUS_DGT_v2019, OPUS_EUbookshop_v2, OPUS_EUconst_v1,  OPUS_ParaCrawl_v5,  OPUS_Tatoeba_v20190709, paracrawl_v6, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
glg	"OPUS_GNOME_v1,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
glk	OPUS_wikimedia_v20190628		
glv	"OPUS_GNOME_v1, OPUS_bible_uedin_v1"		
gom	OPUS_wikimedia_v20190628		
gor	OPUS_wikimedia_v20190628		
gos	OPUS_Tatoeba_v20190709		
got	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
grc	OPUS_Tatoeba_v20190709		
grn	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
gsg	JW300		
gsm	JW300		
gss	JW300		
gsw	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
guc	JW300		
gug	JW300		
guj	"wiki_titles_v1,JW300,pmindia_v1, OPUS100v1_train"	" newsdev2019_guen, OPUS100v1_dev, OPUS100v1_test"	newstest2019_guen
guw	JW300		
gym	JW300		
hak	OPUS_Tatoeba_v20190709		
hat	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
hau	"JW300,   OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
haw	" OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
hds	JW300		
heb	"GlobalVoices_2018Q4,OPUS_OpenSubtitles_v2018,OPUS_Tatoeba_v20190709,JW300, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
her	"JW300, "		
hif	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
hil	"JW300, OPUS_Tatoeba_v20190709"		
