#	ISO 639-3	Name	Sentences	 SourceTokens	 EnglishTokens
207	NNO	Norwegian Nynorsk	 139,111	 1,113,937	 1,116,261
208	CAB	Garifuna	 59,416	 1,016,417	 1,095,937
209	NCJ	Northern Puebla Nahuatl	 59,251	 963,782	 1,092,104
210	ARZ	Egyptian Arabic	 54,590	 927,189	 1,089,748
211	DHV	Dehu	 58,875	 1,504,920	 1,078,197
212	WUU	Wu Chinese	 46,633	 1,437,243	 1,075,055
213	DJK	Eastern Maroon Creole	 52,628	 1,458,098	 1,038,818
214	GUC	Wayuu	 53,537	 826,821	 985,121
215	CAK	Kaqchikel	 46,427	 1,293,345	 962,624
216	SEH	Sena	 52,334	 856,758	 945,244
217	CYM	Welsh	 99,826	 1,055,852	 937,929
218	KAM	Kamba (Kenya)	 51,054	 959,249	 932,972
219	SOP	Songe	 51,070	 938,990	 927,422
220	QVI	Imbabura Highland Quichua	 50,527	 672,711	 921,493
221	NYN	Nyankole	 50,379	 806,471	 912,254
222	BAR	Bavarian	 58,409	 796,255	 908,588
223	RSL	Russian Sign Language	 44,582	 702,400	 856,169
224	SID	Sidamo	 46,851	 686,888	 847,841
225	ORI	Oriya	 49,192	 698,991	 832,456
226	IDO	Ido	 46,163	 763,729	 831,713
227	LMO	Lombard	 39,461	 864,899	 827,408
228	YAO	Yao	 43,689	 675,341	 791,700
229	MGR	Mambwe-Lungu	 43,911	 731,912	 785,222
230	KRI	Krio	 42,349	 999,510	 752,221
231	MWL	Mirandese	 31,518	 742,141	 746,747
232	HMN	Hmong	 41,806	 906,741	 729,196
233	NGL	Lomwe	 39,339	 596,790	 693,966
234	KSS	Southern Kisi	 37,693	 773,744	 655,897
235	NCX	Central Puebla Nahuatl	 36,422	 523,049	 654,865
236	KOO	Konzo	 36,378	 575,840	 642,178
237	CJK	Chokwe	 35,767	 601,420	 627,383
238	TCF	Malinaltepec Me'Phaa	 34,679	 847,824	 627,050
239	BBC	Batak Toba	 35,181	 574,823	 619,966
240	TOJ	Tojolabal	 33,805	 667,730	 606,099
241	NIA	Nias	 34,280	 582,906	 604,629
242	SRM	Saramaccan	 34,739	 848,933	 597,203
243	IBA	Iban	 34,577	 614,600	 591,325
244	NCH	Central Huasteca Nahuatl	 31,018	 475,377	 561,258
245	FON	Fon	 31,273	 865,700	 552,748
246	KAB	Kabyle	 38,018	 758,336	 550,414
247	KSW	S'Gaw Karen	 26,363	 1,264,404	 545,235
248	IBG	Ibanag	 30,270	 568,962	 537,232
249	NGU	Guerrero Nahuatl	 29,768	 462,975	 535,371
250	URH	Urhobo	 29,347	 593,673	 530,354
251	NDC	Ndau	 30,369	 488,763	 527,840
252	KBP	Kabiyè	 29,066	 618,571	 521,923
253	WES	Cameroon Pidgin	 28,159	 642,670	 499,592
254	MAU	Huautla Mazatec	 27,544	 496,580	 499,460
255	BAS	Basa (Cameroon)	 27,771	 616,191	 496,676
256	BUM	Bulu (Cameroon)	 27,996	 624,348	 494,140
257	CTU	Chol	 26,462	 547,357	 478,157
258	CNH	Hakha Chin	 27,733	 554,298	 477,786
259	BTX	Batak Karo	 27,295	 436,554	 470,088
260	NBA	Nyemba	 27,317	 553,352	 469,851
261	LAO	Lao	 22,217	 697,242	 462,713
262	NYU	Nyungwe	 24,491	 419,713	 427,580
263	ABK	Abkhazian	 23,161	 292,717	 423,050
264	PUS	Pushto	 28,260	 483,360	 421,907
